Company,Description,Employees 2025,Employees 2026,Growth,Hires,Sector,Headquarters,Website
Susu,Offrez le meilleur accès aux soins de santé à vos familles en Afrique,590,679,15%,89,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Auvergne-Rhône-Alpes,susu.fr
Rematch,"Avec l’app Rematch, immortalise les meilleurs moments de sport amateur et les vidéos highlights",68,78,15%,10,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Nouvelle-Aquitaine,rematch.tv
Libriciel Scop,Les applications libriciel SCOP répondent aux enjeux de dématérialisation du secteur public,55,63,15%,8,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Occitanie,libriciel.fr
Feed.,La nutrition développée pour atteindre vos objectifs.,141,162,15%,21,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,feed.co
Lockself,La suite cyber pour sécuriser vos mots de passe et fichiers,54,62,15%,8,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,lockself.com
Apl Data Center,"APL, expert en data centers",208,239,15%,31,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,apl-datacenter.com
Pytheas Capital - Treso2,La plateforme agréée qui automatise le traitement de vos factures,34,39,15%,5,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,pytheascapital.com
Dealinka,Dealinka redonne une seconde vie à vos invendus !,52,60,15%,8,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,dealinka.fr
Socianova,Dossier usager informatisé pour le social et le médico-social,61,70,15%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,socianova.com
Dotfile,KYB Solution | vérification business de bout en bout,27,31,15%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dotfile.com
Isybuy,Logiciel SI achats,33,38,15%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Occitanie,isybuy.com
Idakto,La plateforme ouverte de l’identité digitale,53,61,15%,8,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,idakto.com
Pigment (Duplicit),Plateforme de planification intégrée avec IA agentique,544,626,15%,82,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,pigment.com
Clubfunding,La plateforme dédiée à l’investissement privé,52,60,15%,8,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,clubfunding.fr
Alma,La solution de paiement en plusieurs fois,525,604,15%,79,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,getalma.eu
Stockly,Connecter les stocks pour un e-commerce sans limites,98,113,15%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,stockly.ai
Sis Id,Sécurisez vos paiements et maîtrisez le risque de fraude au virement,75,86,15%,11,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Auvergne-Rhône-Alpes,sis-id.com
Comptastar,Le logiciel de gestion pour les experts-comptables,130,150,15%,20,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,comptastar.fr
Nomadia,Solutions logicielles pour la gestion des temps et des activités,108,124,15%,16,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,nomadia-group.com
Vusiongroup,Dévoiler la foundation IA native pour la prochaine décennie du retail,183,210,15%,27,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,vusion.com
Adikteev,DSP aidant les apps mobiles à réengager leurs utilisateurs via le retargeting et à acquérir de nouveaux utilisateurs grâce à la CTV,75,86,15%,11,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,adikteev.com
Lucca,15 logiciels RH et administratifs : la meilleure solution SIRH par Lucca,357,409,15%,52,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,lucca.fr
Kshuttle,La plateforme qui répond aux défis croissants des réglementations financières et de durabilité,91,104,14%,13,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,kshuttle.io
Kelio,Logiciel RH : gestion des temps & contrôle d’accès,184,210,14%,26,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Pays de la Loire,kelio.com
Batch,Customer engagement platform (CEP) pour les équipes CRM,106,121,14%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,batch.com
Avis-Locataire,"Solutions numériques de communication, d'écoute client, de prise de rendez-vous et de contrôle sur site, pour les gestionnaires de biens immobiliers.",22,25,14%,3,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,avis-locataire.com
Tohero,"Développement d'applications web, e-commerce et mobile",29,33,14%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Occitanie,tohero.fr
Diapason,Solution de gestion de trésorerie qui transforme votre pilotage financier en levier de performance.,92,105,14%,13,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,mydiapason.com
Waat,Pour une mobilité durable et raisonnée et une planète en bonne santé.,239,273,14%,34,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,waat.fr
N2F,"Solutions performantes et intuitives, avec un accompagnement personnalisé et un service client réactif.",57,65,14%,8,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,n2f.com
Sopht,"Sopht, la solution green ITops pour décarboner votre IT",36,41,14%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,sopht.com
Epresspack,Accompagner la digitalisation des éq,37,42,14%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,epresspack.com
Dougs Compta,Expert-comptable en ligne,299,341,14%,42,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,dougs.fr
Sillage,Faites croître votre revenu plus vite avec des agents de signal,22,25,14%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,getsillage.com
900.Care,Arrêtez d'acheter de l'eau.,74,84,14%,10,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,900.care
Omi,Studio photo virtuel grâce à l'IA 3D,106,121,14%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,omi.so
Retency,Retency conçoit et déploie des procédés algorithmiques d'anonymisation,106,121,14%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,retency.com
Maiaspace,"Concevoir, fabriquer, opérer et commercialiser des solutions compétitives et durables pour le lancement spatial et la mobilité.",176,201,14%,25,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,maia-space.com
Edda (Kushim France),Le logiciel le plus avancé pour le venture capital et le private equity,35,40,14%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,edda.co
Hydratis,Pastilles électrolytes Hydratis pour créer ta boisson – Hydratis,28,32,14%,4,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,hydratis.co
Optera,À vos côtés pour relever vos défis énergétiques !,14,16,14%,2,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Nouvelle-Aquitaine,optera.fr
Giskard,"Plateforme de tests automatisés pour sécuriser en continu les agents LLM, évitant hallucinations et problèmes de sécurité en production.",22,25,14%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,giskard.ai
Spimed-Ai,"Analyse CCTA par IA : plus intelligente, plus rapide, qui sauve des vies",21,24,14%,3,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,spimed-ai.com
Ebg,"Rejoignez la communauté qui réunit décideurs et experts de l'innovation pour partager, apprendre et faire avancer vos projets",269,307,14%,38,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ebg.net
Worklife,Boostez votre stratégie RH grâce aux avantages salariés.,93,106,14%,13,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,worklife.io
Neo Founders,Solution pour gérer votre épargne simplement,22,25,14%,3,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,yomoni.fr
Media Immo,Développement multimédias - Media Immo est spécialisé dans la génération d'états des risques et pollutions (ERP),50,57,14%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,media-immo.fr
Geodaisics,L’intelligence artificielle générative,14,16,14%,2,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Auvergne-Rhône-Alpes,geodaisics.com
Faume,Votre solution de seconde main tout-en-un,44,50,14%,6,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,faume.co
Dioxycle,Repenser les émissions et remplacer les énergies fossiles,35,40,14%,5,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,dioxycle.com
Cba Informatique Libérale,CBA informatique libérale : l'abécédaire du digital pour les métiers de la santé en libéral,218,249,14%,31,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Provence-Alpes-Côte d’Azur,cbainfo.fr
Najar,"Transformer les achats IT en avantage stratégique grâce à l’IA, aux données et à l’expertise",79,90,14%,11,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,Najar.ai
Kombo,"Comparez les billets de train SNCF, les avions et 200 compagnies de bus",36,41,14%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,kombo.co
Sweep,Logiciel aidant les entreprises à suivre et agir sur leurs émissions ESG et carbone,88,100,14%,12,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,sweep.net
Planisware,éditeur de logiciel de PPM,748,850,14%,102,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,planisware.com
Hublo,Pressing à domicile | votre pressing éco-responsable livré à Paris - Hublo,344,390,13%,46,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,hublo.eu
Cognyx,Construire du hardware à la vitesse du software.,15,17,13%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,cognyx.io
Web Geo Services,Google Maps - web geo services - votre partenaire cartes UK n°1,32,36,13%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,webgeoservices.com
Ubikap,Outil indispensable en droit des sociétés : la plateforme Ubikap,15,17,13%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,ubikap.com
Opopop,Colis réemployables pour des livraisons zéro déchet,15,17,13%,2,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Auvergne-Rhône-Alpes,opopop.co
3D Prod,"Impression 3D en ligne, prototypage rapide",15,17,13%,2,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Grand Est,3dprod.com
Revcoo,Rejoignez le mouvement du refroidissement,16,18,13%,2,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Auvergne-Rhône-Alpes,revcoo.com
Limatech,Batteries lithium pour l’aéronautique et la défense,40,45,13%,5,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,limatech.group
Oxeva Sas,Oxeva propose des solutions d'hébergement infogéré en cloud,15,17,13%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,oxeva.fr
Outsight,"Notre plateforme logicielle d’IA spatiale délivre des insights uniques pour optimiser les opérations, améliorer l’expérience visiteurs et renforcer la sécurité",100,113,13%,13,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,outsight.tech
Choosemycompany,Avis certifiés,79,89,13%,10,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,capgemini-consulting.com
Aitenders,Nous transformons des documents contractuels complexes d’appels d’offres et de projets en intelligence,24,27,13%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,aitenders.com
Adacore,"Outils pour le développement à haute intégrité en Ada/Spark, C/C++ et Rust",142,161,13%,19,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,adacore.com
Happydemics,Le moteur de croissance des résultats de marque,68,77,13%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,happydemics.com
Antvoice,IA programmatique qui combine cookie tiers et cookieless,16,18,13%,2,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,antvoice.com
Empowill,Logiciel RH spécialiste du parcours collaborateur,31,35,13%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,empowill.com
Kiosk,La plateforme culturelle des entreprises et des salariés,15,17,13%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,meetkiosk.com
Manty,Solutions intelligentes pour les administrations de demain,52,58,12%,6,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,manty.eu
Beeldi,"Les incontournables de l'approche immobilière liée à la maintenance: diagnostic, réglementation, plan",25,28,12%,3,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,beeldi.com
Madbox,Gaming,126,141,12%,15,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,madboxgames.io
Scalizer,Tirez le meilleur de vos systèmes CRM et ERP,27,30,12%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Pays de la Loire,scalizer.fr
Moka.Care,L’allié santé mentale de votre organisation,55,62,12%,7,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,moka.care
Lakaa,Le dispositif de référence des entreprises multi-sites pour vos actions à impact.,26,29,12%,3,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,lakaa.io
Qwarry,La seule plateforme d'IA omnicanale,41,46,12%,5,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,qwarry.com
Charles.co,"Solutions complètes, efficaces et personnalisées pour votre santé au quotidien.",17,19,12%,2,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,Charles.co
Winamax,Paris sportifs. Poker en ligne.,379,425,12%,46,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,winamax.fr
Money Walkie,Le moyen de paiement préféré des enfants et des ados,34,38,12%,4,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,moneywalkie.com
Tilt Energy,Révélez tout le potentiel de la flexibilité électrique,17,19,12%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,tilt-energy.com
Adagio,Adtech pour optimiser la demande pour les annoncerus,74,83,12%,9,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Occitanie,adagio.io
Hexa,Startup studio.,27,30,11%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,hexa.com
Onepilot,Redéfinir l’externalisation de l’expérience client,87,97,11%,10,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,onepilot.co
